Year,Key words,Impact,Adapt,Country,Region
2000,Adaptation opportunities to climate variability and change in the exploitation and utilisation of marine living resources,fisheries,aquaculture,Global,World
2002,"Migration, remittances, livelihood trajectories, and social resilience",,relocation,Vietnam,Asia
2007,Geographic and seasonal patterns and limits on the adaptive response to temperature of European Mytilus spp. and Macoma balthica populations,temp,genetics/breeding,,Europe
2009,DESERTS AND DESERTIFICATION: CHALLENGES BUT ALSO OPPORTUNITIES,drought,aquaculture,Global,World
2010,Insights into shell deposition in the Antarctic bivalve Laternula elliptica: gene discovery in the mantle transcriptome using 454 pyrosequencing,OA,genetics/breeding,Southern Ocean,World
2010,Perspectives: Gene expression in fisheries management,,genetics/breeding,Global,World
2010,Impact of climate change stressors on marine invertebrate life histories with a focus on the Mollusca and Echinodermata,"temp, OA",genetics/breeding,,
2010,Effect of global change on bivalve rearing activity and the need for adaptive management,"temp, precipitation",policy,Italy,Europe
2010,Temperature and salmonid reproduction: implications for aquaculture,temp,technology,,
2011,Climate change and fish culture in Patagonia: present situation and perspectives,temp,adaptive planning,Argentina,South America
2011,"Populations of the Sydney rock oyster, Saccostrea glomerata, vary in response to ocean acidification",OA,genetics/breeding,Australia,Oceania
2011,The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta,"temp, precipitation",farming techniques,Vietnam,Asia
2011,Options on Fisheries and Aquaculture for Coping with Climate Change in South Asia,,diversification; infastructure; hatchery and grow out technology; seaweed; education; monitoring; insitutional support,South Asia,Asia
2011,EST resources and establishment and validation of a 16 k cDNA microarray from Atlantic cod (Gadus morhua),,genetics/breeding,,
2011,The application of science and technology development in shaping current and future aquaculture production systems,,technology,,
2011,Integrating livestock production with crops and saline fish ponds to reduce greenhouse gas emissions,,integrated systems,Phillipines,Asia
2011,Building Nigeria's Response to Climate Change: Pilot Projects for Community-Based Adaptation in Nigeria,"temp, flood, precipitation, drought, stroms/extremes","community based, adaptive planning",Nigeria,Africa
2012,Climate change adaptation through local knowledge in the north eastern region of Bangladesh,"temp, drought, precipitation, storms",diversification; infastructure,Bangladesh,Asia
2012,Can marine fisheries and aquaculture meet fish demand from a growing human population in a changing climate?,,sustainable feed,Global,World
2012,Impact of climate change in Mediterranean aquaculture,"temp, drought, sea level, floods, HAB, disease, OA",adaptive planning,Mediterranean,"Europe, Africa, Middle East"
2012,"Factors affecting farmers' adoption of integrated rice-fish farming systems in the Mekong delta, Vietnam",,integrated systems; education; training,Vietnam,Asia
2012,"Adapting bioenergetic factorial modelling to understand the implications of heat stress on barramundi (Lates calcarifer) growth, feed utilisation and optimal protein and energy requirements - potential strategies for dealing with climate change?",temp,feeds/efficency,Global,World
2012,Nutrition and income from molluscs today imply vulnerability to ocean acidification tomorrow,OA,diversification,Global,World
2012,Predicted impact of the sea-level rise at Vellar-Coleroon estuarine region of Tamil Nadu coast in India: Mainstreaming adaptation as a coastal zone management option,sea level,management; spatial planning,India,Asia
2012,NORWEGIAN SALMONID FARMING AND GLOBAL WARMING: SOCIOECONOMIC IMPACTS,temp,management; economic assisstance,Norway,Europe
2012,Recent Developments at the Federal Level in Ocean Policymaking in the United States,OA,policy recommended,USA,North America/Caribbean
2012,The rotifer Brachionus plicatilis: an emerging bio-tool for numerous applications,,technology,Global,World
2012,"Feeding rate of juvenile red king crabs, Paralithodes camtschaticus, in the laboratory: effects of temperature, size, molting, and feeding frequency",temp; fisheries,genetics/breeding,,North America/Caribbean
2013,Securing ocean benefits for society in the face of climate change,"temp, OA, sea level, storms",ecosystem adaptation; incentives; relocation,Global,World
2013,"RNA-Seq reveals expression signatures of genes involved in oxygen transport, protein synthesis, folding, and degradation in response to heat stress in catfish",temp,genetics/breeding,Global,World
2013,"Comparison of the growth performance of offspring from cultured versus wild populations of arctic charr, Salvelinus alpinus (L.), kept at three different temperatures",temp,genetics/breeding,Global,World
2013,More rapid and severe disease outbreaks for aquaculture at the tropics: implications for food security,disease,global adaptive planning,Global,World
2013,Cumulative Pressures on Sustainable Livelihoods: Coastal Adaptation in the Mekong Delta,"storms, floods",sustainable livelihoods; governance,Vietnam,Asia
2013,"Variation in temperature tolerance among families of Atlantic salmon (Salmo salar) is associated with hypoxia tolerance, ventricle size and myoglobin level",temp,genetics/breeding,Global,World
2013,Women and fisheries: Contribution to food security and local economies,all,social equity,,
2013,Life Cycle Assessment for environmentally sustainable aquaculture management: a case study of combined aquaculture systems for carp and tilapia,pollution,management,Indonesia,Asia
2013,Towards improved socio-economic assessments of ocean acidification's impacts,OA,integrated systems,Global,World
2013,Linking prawn and shrimp farming towards a green economy in Bangladesh: Confronting climate change,"storms/extremess, floods,  sea levels",integrated systems; governance,Bangladesh,Asia
2013,Selecting stocking density in different climatic seasons: A decision theory approach to intensive aquaculture,temp,"technology, innovation",Global,World
2013,Impacts and vulnerability of inland fisheries to climate change in the Ganga River system in India,"temp, precipitation, drought, storms/extremess, floods, sea level",management,India,Asia
2013,"Future socio-economic and environmental sustainability of the Irish Sea requires a multi-disciplinary approach with industry and research collaboration, and cross-border partnership","temp, disease, OA, hypoxia","governance, management",Ireland,Europe
2014,Fishing for the impacts of climate change in the marine sector: a case study,,,Australia,Oceania
2014,"The regional impacts of climate change on coastal environments and the aquaculture of Japanese scallops in northeast Asia: case studies from Dalian, China, and Funka Bay, Japan","temp, precipitation",adaptive planning,"China, Japan",Asia
2014,Energy prices and seafood security,,national policy,Global,World
2014,Community- based climate change adaptation strategies for integrated prawn- fish- rice farming in Bangladesh to promote social- ecological resilience,,community-based adaptation; relocation; institutional support,Bangladesh,Asia
2014,Sequencing-based gene network analysis provides a core set of gene resource for understanding thermal adaptation in Zhikong scallop Chlamys farreri,temp,genetics,Global,World
2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,,spatial planning,British Isles,Europe
2014,Field scale evaluation of seaweed aquaculture as a nutrient bioextraction strategy in Long Island Sound and the Bronx River Estuary,mitigation,diversification,USA,North America/Caribbean
2014,A Quantitative Metric to Identify Critical Elements within Seafood Supply Networks,all,,Global,World
2015,"DEALING WITH OCEAN ACIDIFICATION: THE PROBLEM, THE CLEAN WATER ACT, AND STATE AND REGIONAL APPROACHES",OA,governance; policy,United States,North America/Caribbean
2015,Combining participatory approaches and an agent-based model for better planning shrimp aquaculture,,non-intensive; incentives,Vietnam,Asia
2015,"Adaptation to climate change as social-ecological trap: a case study of fishing and aquaculture in the Tam Giang Lagoon, Vietnam",,,Vietnam,Asia
2015,Shrimp aquaculture as a vehicle for Climate Compatible Development in Sri Lanka. The case of Puttalam Lagoon,,policy; subsidies; insurance; loans (for investment),Sri Lanka,Asia
2015,Local perceptions of and adaptation to climate variability and change: the case of shrimp farming communities in the coastal region of Bangladesh,,governance,Bangladesh,Asia
2015,Enhancing water and cropping productivity through Integrated System of Rice Intensification (ISRI) with aquaculture and horticulture under rainfed conditions,"precipitation, drought, flood",integrated systems,India,Asia
2015,Planning for Production of Freshwater Fish Fry in a Variable Climate in Northern Thailand,"precipitation, drought",improve hatcheries; monitoring; breeding; diversification; water management,Thailand,Asia
2015,Predicting environmental drivers for prawn aquaculture production to aid improved farm management,,forecasting,Australia,Oceania
2015,Non-stationary extreme value models to account for trends and shifts in the extreme wave climate due to climate change,,,Global,World
2015,Facing the wave of change: stakeholder perspectives on climate adaptation for Australian seafood supply chains,,post-production strategies,Australia,Oceania
2015,Gauging perceptions of ocean acidification in Alaska,OA,education,United States,North America/Caribbean
2015,Perceptions of climate-related risks and awareness of climate change of fish cage farmers in northern Thailand,"floods, drought",,Thailand,Asia
2015,Feed Resources vis-a-vis Livestock and Fish Productivity in a Changing Climate,,feeds/efficency,Global,World
2015,Impacts of climate change on agro-ecological landscapes in the coastal area of the Thai Binh province (Vietnam) using the Delphi technique,temp,policy; adaptive planning,Vietnam,Asia
2015,Funding climate adaptation strategies with climate derivatives,temp,investment,Australia,Oceania
2015,"Effects and mitigations of ocean acidification on wild and aquaculture scallop and prawn fisheries in Queensland, Australia",OA; fisheries,aquaculture,Australia,Oceania
2015,Marine reserves help preserve genetic diversity after impacts derived from climate variability: Lessons from the pink abalone in Baja California,,genetics/breeding,USA,North America/Caribbean
2015,"Tropical seaweeds for human food, their cultivation and its effect on biodiversity enrichment",,diversification,Global,World
2015,Back to the Roots: The Integration of a Constructed Wetland into a Recirculating Hatchery - A Case Study,,integrated systems,Czech Republic,Europe
2015,Impact of Climate Change on Aquaculture: The Need for Alternative Feed Components,"temp, OA",feeds/diet,Global,World
2016,"Impacts, Perceptions and Management of Climate-Related Risks to Cage Aquaculture in the Reservoirs of Northern Thailand","temp, drought",tactical (short-mid) adjustments,Thailand,Asia
2016,"Can ""Integrated Multi-Trophic Aquaculture (IMTA)"" adapt to climate change in coastal Bangladesh?","temp, sea level, floods, drought, precipitation, storms",integrated systems; insitutional support,Bangladesh,Asia
2016,Mitigating uncertainty and enhancing resilience to climate change in the fisheries sector in Taiwan: Policy implications for food security,, precautionary mitigation measures,Taiwan,Asia
2016,"Rehabilitating mangrove ecosystem services: A case study on the relative benefits of abandoned pond reversion from Panay Island, Philippines",,restoration,Philippines,Asia
2016,Does climate change matter for freshwater aquaculture in Bangladesh?,"temp, flood, drought, precipitation, disease",adaptive planning,Bangladesh,Asia
2016,Assessing relative vulnerability to sea-level rise in the western part of the Mekong River Delta in Vietnam,"sea level, flood",,Vietnam,Asia
2016,MicroRNA in aquaculture fishes: a way forward with high-throughput sequencing and a computational approach,,genetics,,
2016,Economic impacts of climate change: profitability of freshwater aquaculture in China,"temp, flood, drought, storms, precipitation",,China,Asia
2016,"Analysis of the economic impact of climate change and climate change adaptation strategies for fisheries sector in Pacific coral triangle countries: Model, estimation strategy, and baseline results",,adaptive planning,"Fiji, Solomon Islands, Timor-Leste, Vanuatu",Oceania
2016,Economic impact of climate change and climate change adaptation strategies for fisheries sector in Fiji,fisheries,aquaculture,Fiji,Oceania
2016,Economic impact of climate change and climate change adaptation strategies for fisheries sector in Solomon Islands: Implication for food security,fisheries,aquaculture,Solomon Islands,Oceania
2016,Economic impacts of climate change and climate change adaptation strategies in Vanuatu and Timor-Leste,fisheries,aquaculture,"Vanuatu, Timor-Leste",Oceania
2016,mpacts of ocean acidification in a warming Mediterranean Sea: An overview,"temp, OA, HAB",monitoring; adaptive planning,Mediterranean,"Europe, Africa, Middle East"
2016,"CLIMATE CHANGE ADAPTATION BY MANGROVE-DEPENDENT FISHING COMMUNITIES IN SOUTHERN CROSS RIVER STATE, NIGERIA","precipitation, floods, sea level, storms, fisheries",aquaculture,Nigeria,Africa
2016,Adapting Management of Marine Environments to a Changing Climate: A Checklist to Guide Reform and Assess Progress,,restoration; resource allocation stratgeies; policy and management,Australia,Oceania
2016,Transcriptome and biomineralization responses of the pearl oyster Pinctada fucata to elevated CO2 and temperature,OA,,,
2016,Climate change effects in the Bay of Bengal Large Marine Ecosystem,"temp, OA, hypoxia, storms, sea level, disease",management; economic assisstance,India,Asia
2016,Aquaculture Adaptation to Climate Change in Vietnam's Mekong Delta,sea level,(water resource) management; diversification,Vietnam,Asia
2016,Towards the optimization of performance of Atlantic salmon reared at different water temperatures via the manipulation of dietary ARA/EPA ratio,temp,feeds/diet,Australia,Oceania
2016,Atlantic salmon populations reveal adaptive divergence of immune related genes - a duplicated genome under selection,,genetics/breeding,Norway,Europe
2016,Environmental impacts of genetic improvement of growth rate and feed conversion ratio in fish farming under rearing density and nitrogen output limitations,,feeds/diet,,
2016,De novo assembly and annotation of the European abalone Haliotis tuberculata transcriptome,,genetics/breeding,,
2016,"A typology of natural resource use for livelihood impact assessments in Nusa Tenggara Barat Province, Indonesia",,,Indonesia,Asia
2016,Environmental performance of copper-alloy Net-pens: Life cycle assessment of Atlantic salmon grow-out in copper-alloy and nylon net-pens,,technology,,
2016,Germplasm banking of the giant kelp: Our biological insurance in a changing environment,"storms/extremess, disease",genetics/breeding,Chile,South America
2016,Can Integrated Multi-Trophic Aquaculture (IMTA) adapt to climate change in coastal Bangladesh?,all,integrated systems,Bangladesh,Asia
2016,Mechanism and Aquaculture Application of Teleost Enzymes Adapted at Low Temperature,temp,genetics/breeding,Global,World
2017,Ocean acidification and marine aquaculture in North America: potential impacts and mitigation strategies,OA,monitoring and regional planning,North America,North America/Caribbean
2017,The sustainable development goals: A case study,temp,SDGs (company level); social license,Australia,Oceania
2017,"Evaluating the contribution of diversified shrimp-rice agroecosystems in Bangladesh and West Bengal, India to social-ecological resilience","sea level, floods","policy-support, diversification, integrated systems","Bangladesh, West Bengal, India",Asia
2017,The growth of finfish in global open-ocean aquaculture under climate change,temp,genetics/breeding,Global,World
2017,"Linked sustainability challenges and trade-offs among fisheries, aquaculture and agriculture",fisheries and agriculture,"governance, management, social equity, innovation",Global,World
2017,Market driven management of climate change impacts in the Spanish mussel sector,"temp, reduced primary productivity",diversification; policy; flexiable framework,Spain,Europe
2017,Seaweed aquaculture in Norway: recent industrial developments and future perspectives,,integrated systems; seaweed,Norway,Europe
2017,"Household social vulnerability to natural hazards in the coastal Tran Van Thoi District, Ca Mau Province, Mekong Delta, Vietnam",,social equity,Vietnam,Asia
2017,"Solutions to blue carbon emissions: Shrimp cultivation, mangrove deforestation and climate change in coastal Bangladesh",,integrated systems; restoration,Bangladesh,Asia
2017,Rapid expansion of the invasive oyster Crassostrea gigas at its northern distribution limit in Europe: Naturally dispersed or introduced?,,genetics,Europe,Europe
2017,Cultural resources and public trust shape attitudes toward climate change and preferred futures-A case study among the Norwegian public,,education,Norway,Europe
2017,Aquaculture systems facing climate change,"temp, sea level, precipitation, floods, drought, water quality, OA",genetics/breeding; spatial planning; monitoring; control conditions,Global,World
2017,Vulnerability of aquaculture-related livelihoods to changing climate at the global scale,,,Global,World
2017,Can greening of aquaculture sequester blue carbon?,,integrated systems,Global,World
2017,BREEDING AND GENETICS SYMPOSIUM: Climate change and selective breeding in aquaculture,everything,genetics/breeding; incentives,Global,World
2017,Ocean acidification: assessing the vulnerability of socioeconomic systems in Small Island Developing States,OA,aquaculture,SIDS,SIDS
2017,"Human ecological effects of tropical storms in the coastal area of Ky Anh (Ha Tinh, Vietnam)","sea level, floods, storms",infastructure; restorartion; spatial planning; economic support for relocation,Vietnam,Asia
2017,"Farmers' perceptions of climate change, impacts on freshwater aquaculture and adaptation strategies in climatic change hotspots: A case of the Indian Sundarban delta","temp, precipitation, storms, sea level, drought",policy recommended,India,Asia
2017,"Impact of Oxygen Depletion on Planktonic Community with Emphasis Temperature Dynamics at Aquaculture Scale in Blanakan, West Java","temp, hypoxia",shade; aeration,Brazil,South America
2017,An Innovative Model for Engagement of Rural Citizens/Community of Bangladesh with Climate Change,,community engagement program,Bangladesh,Asia
2017,Impacts of climate change on snakehead fish value chains in the Lower Mekong Basin of Cambodia and Vietnam,,adaptive planning,Cambodia and Vietnam,Asia
2017,A comparative appraisal of the resilience of marine social-ecological systems to mass mortalities of bivalves,disease/stress,social capital; governance,,
2017,"The vulnerability of shrimp farming income to climate change events A case study in Ca Mau, Vietnam",,intensification; governance,Vietnam,Asia
2017,Quantification of climate change implications for water-based management: A case study of oyster suitability sites occurrence model along the Kenya coast,temp,policy recommended,Kenya,Africa
2017,Seaweed aquaculture in Norway: recent industrial developments and future perspectives,,diversification,Norway,Europe
2017,hsp90 and hsp47 appear to play an important role in minnow Puntius sophore for surviving in the hot spring run-off aquatic ecosystem,temp,genetics/breeding,,
2017,"Seaweed production: overview of the global state of exploitation, farming and emerging research activity",,diversification,Global,World
2017,Strategic Points in Aquaponics,,technology,Global,World
2017,"Life cycle assessment of seaweed biomethane, generated from seaweed sourced from integrated multi-trophic aquaculture in temperate oceanic climates",,"integrated systems, diversification",,
2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,,"technology, innovation",USA,North America/Caribbean
2017,The future of seaweed aquaculture in a rapidly changing world,all,diversification,Global,World
2017,"Early nutritional programming affects liver transcriptome in diploid and triploid Atlantic salmon, Salmo salar",,feeds/diet,,
2017,Expert based model building to quantify risk factors in a combined aquaculture-agriculture system,,integrated systems,Vietnam,Asia
2017,Lipid-enriched diets reduce the impacts of thermal stress in corals,temp,feeds/diet,,
2017,Carbon sequestration processes and mechanisms in coastal mariculture environments in China,,management,China,Asia
2018,"Delimitating inland aqua-ecological zones under different climate conditions in the Mekong Delta region, Vietnam","sea level, floods",spatial planning,Vietnam,Asia
2018,"Ocean futures: Exploring stakeholders' perceptions of adaptive capacity to changing marine environments in Northern Norway","temp, space",power/capital,Norway,Europe
2018,Impacts of and resilience to climate change at the bottom of the shrimp commodity chain in Bangladesh: A preliminary investigation,"sea level, storms",,Bangladesh,Asia
2018,"Bringing social and cultural considerations into environmental management for vulnerable coastal communities: Responses to environmental change in Xuan Thuy National Park, Nam Dinh Province, Vietnam","sea level, storms",technology,Vietnam,Asia
2018,"Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","fisheries and agriculture, drought, floods",aquaculture,Malawi,Africa
2018,Integrated mangrove-shrimp cultivation: Potential for blue carbon sequestration,,integrated systems,Global,World
2018,How do local communities adapt to climate changes along heavily damaged coasts? A Stakeholder Delphi study in Ky Anh (Central Vietnam),"floods, storms",adaptive planning,Vietnam,Asia
2018,Integrating multiple stressors in aquaculture to build the blue growth in a changing sea,fisheries,"aquaculture, national planning, diversification",Global,World