Year,Title,Topic/Impact,Country Study Focus,Region,Spp,Taxa,Impact study
1995,THE ECOLOGY OF MANGROVE CONSERVATION AND MANAGEMENT,aquaculture,Japan,Asia,mangroves,,No
2000,Adaptation opportunities to climate variability and change in the exploitation and utilisation of marine living resources,,Global,Global,,,No
2000,Present applications and future needs of meteorological and climatological data in inland fisheries and aquaculture,,Global,Global,tilapia,finfish,No
2001,Our evolving conceptual model of the coastal eutrophication problem,,Global,Global,,,No
2002,Contending with criticism: Sensible responses in an age of advocacy,,Global,Global,,,No
2002,Effect of speed on Taiwanese paddlewheel aeration,,Taiwan,Asia,,,No
2002,"Migration, remittances, livelihood trajectories, and social resilience",,Vietnam,Asia,,,No
2002,"The continental shelf benthic ecosystem: current status, agents for change and future prospects",,Global,Global,,,No
2002,The future of seagrass meadows,,Global,Global,,,No
2003,Global overview of marine fisheries,,Global,Global,,,No
2004,"Accumulation of arsenic in Pacific oysters, Crassostrea gigas, collected from aquaculture sites in western Taiwan",toxin,Taiwan,Asia,oyster,mollusc,No
2004,Are diseases increasing in the ocean?,disease,Global,Global,,,No
2005,Changes in nature's balance sheet: Model-based estimates of future worldwide ecosystem services,,Global,Global,,,No
2005,Diet shifts towards meat and the effects on cereal use: can we feed the animals in 2030?,,Global,Global,,,No
2005,Disease and health management in Asian aquaculture,disease,Asia,Asia,,,No
2005,Does inland aquatic biodiversity have a future in Asian developing countries?,,Global,Global,,,No
2005,Group report: Integrated assessment and future scenarios for the coast,,Global,Europe,,,No
2005,The environmental limits to globalization,,Global,Global,,,No
2005,The pacific salmon treaty: A century of debate and an uncertain future,,Global,North America/Caribbean,salmon,finfish,No
2006,Biodiversity and its conservation in the Sundarban Mangrove Ecosystem,aquaculture,Bangladesh,Asia,mangroves,,No
2006,Introduced macroalgae - a growing concern,invasives,Global,Global,,,No
2007,"Coral reefs: threats and future focusing in over-rishing, aquaculture, and educational programs",,Global,Global,,,No
2007,Evolutionary pressure on reproductive strategies in flatfish and groundfish: Relevant concepts and methodological advancements,,Global,North America/Caribbean; Europe,,,No
2007,"Genetic identification of wild and domesticated strains of chinook salmon (Oncorhynchus tshawytscha) in southern British Columbia, Canada",,Global,North America/Caribbean,salmon,finfish,No
2007,Geographic and seasonal patterns and limits on the adaptive response to temperature of European Mytilus spp. and Macoma balthica populations,temp,Global,Europe,mussels,mollusc,No
2007,Global fish production and climate change,,Global,Global,,,No
2007,The status of Arctic charr Salvelinus alpinus in Britain and Ireland,,Global,Europe,,,No
2008,"Changes in the immune response and metabolic fingerprint of the mussel, Mytilus edulis (Linnaeus) in response to lowered salinity and physical stress",precipitation,Global,Global,mussel,mollusc,No
2008,"Environmental and cultural change on the Mt Eccles lava-flow landscapes of southwest Victoria, Australia",,Australia,Oceania,,,No
2008,Genetic characterization of hybrid mussel (Mytilus) populations on Irish coasts,,Ireland,Europe,mussel,mollusc,No
2008,Global introductions of salmon and trout in the genus Oncorhynchus: 1870-2007,invasives,Global,Global,salmon,finfish,No
2008,IMPACT OF SEA-LEVEL RISE ON CHIAYI COAST,sea level,Taiwan,Asia,,,Yes
2008,Integrated assessment of ecosystem-scale carrying capacity in shellfish growing areas,,Ireland,Europe,oysters; mussels,mollusc,No
2008,Life Cycle Considerations for Improving Sustainability Assessments in Seafood Awareness Campaigns,,Global,Global,,,No
2008,"Major diseases and the defence mechanism in giant freshwater prawn, Macrobrachium rosenbergii (de Man)",disease,,,shrimp,crustacea,No
2008,Modeling climate change and the effect on the norwegian salmon farming industry,temp,Norway,Europe,salmon,finfish,No
2008,"Response of the diatom flora in Jiaozhou Bay, China to environmental changes during the last century",,China,Asia,,,No
2008,Zoonoses with wildlife reservoirs: A threat to public health and the economy,,Global,Global,,,No
2009,Assessing the impact of climate change on inland fisheries in River Ganga and its plains in India,temp,India,Asia,,,Yes
2009,Assessment of the environmental impact of carnivorous finfish production systems using life cycle assessment,,Global,Global,,,No
2009,Beyond the optimum - Aquaculture nutrition and climate change,temp,Global,Global,,,No
2009,Climate change and tropical marine agriculture,,Global,Global,,,No
2009,Conservation and Management of Tropical Coastal Ecosystems,,Global,Global,,,No
2009,DESERTS AND DESERTIFICATION: CHALLENGES BUT ALSO OPPORTUNITIES,drought,Global,Global,,,No
2009,Dramatic Declines in North Atlantic Diadromous Fishes,,Global,Global,,,No
2009,Fish farming and the environment: A life cycle assessment approach,,Global,Global,,,No
2009,Global production and economics,,Global,Global,,,No
2009,Johnson and Vallentyne's legacy: 40 years of aquatic research at the Experimental Lakes Area INTRODUCTION,,Global,Global,,,No
2009,Long-Term Research and Cultural Resource Management Strategies in Light of Climate Change and Human Impact,,Global,Global,,,No
2009,MODELING THE GLOBAL FISHMEAL AND FISH OIL MARKETS,,Global,Global,,,No
2009,Planning the use of fish for food security in the Pacific,,Pacific Island Nations,Oceania,,,No
2009,Resilience of Coral-Associated Bacterial Communities Exposed to Fish Farm Effluent,,Global,Global,,,No
2009,Scientific uncertainty and the assessment of risks posed by non-native freshwater fishes,invasives,,,,,No
2009,Spatial decision support in aquaculture: the role of geographical information systems and remote sensing,,Global,Global,,,No
2009,Target objectives in Spanish Marine Science within the European context (2003-2007),,Spain,Europe,,,No
2009,The AquaDEB project (phase I): Analysing the physiological flexibility of aquatic species and connecting physiological diversity to ecological and evolutionary processes by using Dynamic Energy Budgets,,Global,Global,,,No
2009,Water and agricultural productivity in the Lower Mekong Basin: trends and future prospects,,China,Asia,,,No
2010,A Management Tool for Assessing Aquaculture Environmental Impacts in Chilean Patagonian Fjords: Integrating Hydrodynamic and Pellets Dispersion Models,,Global,South America,,,No
2010,A methodology for community-level hypothesis testing applied to detect trends in phytoplankton and fish communities in Irish waters,,Global,Europe,,,No
2010,Aquaculture: global status and trends,,Global,Global,,,No
2010,Biocomplexity in Mangrove Ecosystems,aquaculture,Global,Global,mangroves,,No
2010,Changes in taxonomy and species distributions and their influence on estimates of faunal homogenization and differentiation in freshwater fishes,,Global,Global,,,No
2010,Climate change: impacts on fisheries and aquaculture,,Global,Global,,,No
2010,Current knowledge on non-native freshwater fish introductions,invasives,Global,Global,,,No
2010,Economic feasibility of using offshore oil and gas structures in the Gulf of Mexico for platform-based aquaculture,,Global,North America/Caribbean,,,No
2010,Ecosystem Services and Food Production,,Global,Global,,,No
2010,Effect of global change on bivalve rearing activity and the need for adaptive management,,Global,Global,bivalves,mollusc,No
2010,Emerging viral diseases of fish and shrimp,disease,Global,Global,"fish, shrimp",finfish,No
2010,From Mfangano to Madrid: The global commodity chain for Kenyan Nile perch,,Global,Global,,,No
2010,"Gleaner, fisher, trader, processor: understanding gendered employment in fisheries and aquaculture",,Global,Global,,,No
2010,Global Water and Food Security: Megatrends and Emerging Issues,"drought, precipitation",Global,Global,,,No
2010,Growth and mortality of Arctic charr and European whitefish reared at low temperatures,temp,Global,Europe,arctic charr & Eur whitefish,finfish,No
2010,Human-driven impacts on marine habitats: A regional meta-analysis in the Mediterranean Sea,,Global,Europe,,,No
2010,Impact of climate change stressors on marine invertebrate life histories with a focus on the Mollusca and Echinodermata,temp; OA,,"Europe, Africa, Middle East",invertebrates,other invert,Yes
2010,Impacts of global environmental change and aquaculture expansion on marine ecosystems,,Global,Global,,,No
2010,"Increasing water temperature and disease risks in aquatic systems: Climate change increases the risk of some, but not all, diseases","disease, temp",Finland,Europe,,,No
2010,Insights into shell deposition in the Antarctic bivalve Laternula elliptica: gene discovery in the mantle transcriptome using 454 pyrosequencing,OA,,,bivalves,mollusc,No
2010,"Is there a need for a '100 questions exercise' to enhance fisheries and aquatic conservation, policy, management and research? Lessons from a global 100 questions exercise on conservation of biodiversity",,Global,Global,,,No
2010,"Jellyfish blooms in China: Dominant species, causes and consequences",,China,Asia,,,No
2010,MARINE FISHERIES AND AQUACULTURE,,Global,Global,,,No
2010,Meat's Place on the Campaign Menu: How US Environmental Discourse Negotiates Vegetarianism,,Global,Global,,,No
2010,Metabolic and molecular stress responses of gilthead seam bream Sparus aurata during exposure to low ambient temperature: an analysis of mechanisms underlying the winter syndrome,temp,Mediterranean,"Europe, Africa, Middle East",seabream,finfish,No
2010,Patagonian Fjord Ecosystems in Southern Chile as a Highly Vulnerable Region: Problems and Needs,temp,Chile,South America,,,No
2010,Perspectives: Gene expression in fisheries management,,Global,Global,,,No
2010,Plankton response to weakening of the Iberian coastal upwelling,,Global,Europe,,,No
2010,Shellfish toxicity: human health implications of marine algal toxins,HAB,Global,Global,,,No
2010,"Society Issues, Painkiller Solutions, Dependence and Sustainable Agriculture",,Global,Global,,,No
2010,Temperature and salmonid reproduction: implications for aquaculture,temp,Global,Global,salmon,finfish,No
2010,"The Aquaculture Controversy in Canada: Activism, Policy, and Contested Science Introduction",,Global,North America/Caribbean,,,No
2010,The future of the global food system,,Global,Global,,,No
2010,The rebuilding imperative in fisheries: Clumsy solutions for a wicked problem?,,Global,Global,,,No
2011,"A review of non-native seaweeds from California, USA and Baja California, Mexico",invasives,Global,North America/Caribbean; Central America,,,No
2011,A review on the early life history and ecology of Japanese sea bass and implication for recruitment,,Global,Global,sea bass,finfish,No
2011,Algal biorefinery-based industry: an approach to address fuel and food insecurity for a carbon-smart world,,Global,Global,,,No
2011,"AN OVERVIEW OF THE BLUE MUSSEL IN SOUTHERN AUSTRALIA - A SERIAL INVADER, A BLIND PASSENGER, OR JUST A WELCOME ADDITION TO THE MENU?",Invasives,Australia,Oceania,mussel,mollusc,No
2011,"Application of a Random Forest algorithm to predict spatial distribution of the potential yield of Ruditapes philippinarum in the Venice lagoon, Italy",,Italy,Europe,,,No
2011,Aquaculture and Climate Change: Challenges for Food and Livelihood Security in Developing Countries,no abstract,,,,,No
2011,"Assessment of mangrove vegetation based on remote sensing and ground-truth measurements at Tumpat, Kelantan Delta, East Coast of Peninsular Malaysia",aquaculture,Global,Global,mangroves,,No
2011,Ballast sediment-mediated transport of non-indigenous species of dinoflagellates on the East Coast of Canada,invasives,Global,North America/Caribbean,,,No
2011,Bibliometric analysis of diadromous fish research from 1970s to 2010: a case study of seven species,,Global,Global,,,No
2011,Building Nigeria's Response to Climate Change: Pilot Projects for Community-Based Adaptation in Nigeria,"temp, flood, precipitation, drought, stroms/extremes",Nigeria,Africa,,,No
2011,Changing dietary habits in a changing world: Emerging drivers for the transmission of foodborne parasitic zoonoses,temp; disease,Global,Global,,,No
2011,Ciona intestinalis environmental control points: field and laboratory investigations,,Global,Global,,,No
2011,Climate change and fish culture in Patagonia: present situation and perspectives,temp,Global,South America,,,No
2011,Climate Change in the Mekong River Delta and Key Concerns on Future Climate Threats,temp; drought; sea level; floods,Global,Asia,,,No
2011,Environmental impacts of plant-based salmonid diets at feed and farm scales,,Global,Global,salmon,finfish,No
2011,EST resources and establishment and validation of a 16 k cDNA microarray from Atlantic cod (Gadus morhua),,Global,Global,cod,finfish,No
2011,Estuarine and Marine Pollutants,HAB,Japan,Asia,,,No
2011,Identification of genes associated with heat tolerance in Arctic charr exposed to acute thermal stress,temp,Global,Global,arctic charr,finfish,No
2011,Integrated Aquaculture - Floating Agriculture: Is It a Valid Strategy to Raise Livelihood?,agriculture,Thailand,Asia,,,No
2011,Integrating livestock production with crops and saline fish ponds to reduce greenhouse gas emissions,,Philippines,Asia,,,No
2011,ISOLATION AND EVALUATION OF NEW PROBIOTIC BACTERIA FOR USE IN SHELLFISH HATCHERIES: I. ISOLATION AND SCREENING FOR BIOACTIVITY,disease,,,,,No
2011,Mangroves among the most carbon-rich forests in the tropics,aquaculture,Global,Global,mangroves,,No
2011,Massive freshwater gains from producing food at sea,drought,Global,Global,,,No
2011,Omega-3: A link between global climate change and human health,,Global,Global,,,No
2011,Options on Fisheries and Aquaculture for Coping with Climate Change in South Asia,"temp; hypoxia; disease; sea level; flood; drought; storms, extremes; precip",Global,Asia,all,general,No
2011,"Populations of the Sydney rock oyster, Saccostrea glomerata, vary in response to ocean acidification",OA,Australia,Oceania,oyster,mollusc,No
2011,Potential effects of climate change on the chemical quality of aquatic biota,toxin,Potential effects of climate change on the chemical quality of aquatic biota,Potential effects of climate change on the chemical quality of aquatic biota,,,No
2011,"Ribosomal genes and heat shock proteins as putative markers for chronic, sublethal heat stress in Arctic charr: applications for aquaculture and wild fish",temp,,,,,No
2011,Some operational uses of satellite remote sensing and marine GIS for sustainable fisheries and aquaculture,,Global,Global,,,No
2011,The application of epidemiology in aquatic animal health -opportunities and challenges,disease,Global,Global,,,No
2011,The application of science and technology development in shaping current and future aquaculture production systems,,Global,Global,,,No
2011,The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta,storms/extremess,,Asia,,,Yes
2011,The implications of global climate change for molluscan aquaculture,,Global,Global,molluscs,mollusc,No
2011,The importance of parentage in assessing temperature effects on fish early life history: a review of the experimental literature,temp,Global,Global,fish,finfish,No
2011,The Relationship Between Natural Conditions and the Formation and Development of Clam Grounds (Meretrix lyrata) in the Mekong Delta,,Vietnam,Asia,clam,mollusc,No
2011,"Toxic marine microalgae and shellfish poisoning in the British isles: history, review of epidemiology, and future implications",HAB,British Isles,Europe,,,No
2011,Using dynamical seasonal forecasts in marine management,temp,Australia,Oceania,tuna,finfish,No
2011,Varying disease-mediated selection at different life-history stages of Atlantic salmon in fresh water,disease,,,salmon,finfish,No
2012,A population genetic analysis of abalone domestication events in South Africa: Implications for the management of the abalone resource,fisheries,South Africa,Africa,abalone,mollusc,No
2012,"Adapting bioenergetic factorial modelling to understand the implications of heat stress on barramundi (Lates calcarifer) growth, feed utilisation and optimal protein and energy requirements - potential strategies for dealing with climate change?",temp,Global,Global,barramundi,finfish,No
2012,An overview of global climate changing in current scenario and mitigation action,all,Global,Global,,,No
2012,Aquaculture and Agricultural Production in the Mekong Delta and its Effects on Nutrient Pollution of Soil and Water,pollution,Vietnam,Asia,,,No
2012,"Biology and culture of the clown loach Chromobotia macracanthus (Cypriniformes, Cobitidae): 2-Importance of water movement and temperature during egg incubation",temp,Global,Global,,,No
2012,Can marine fisheries and aquaculture meet fish demand from a growing human population in a changing climate?,temp,Global,Global,,,No
2012,CHANGING COASTS: MARINE ALIENS AND ARTIFICIAL STRUCTURES,invasives,Global,Global,,,No
2012,Climate change adaptation through local knowledge in the north eastern region of Bangladesh,"agriculture, fisheries, drought, floods",Bangladesh,Asia,talapia,finfish,No
2012,"Climate change impacts on fisheries in West Africa: implications for economic, food and nutritional security",,Global,West Africa,,,No
2012,Detection of the tropical mussel species Perna viridis in temperate Western Australia: possible association between spawning and a marine heat pulse,temp,Australia,Oceania,mussel,mollusc,No
2012,Diversity of zooxanthellae from corals and sea anemones after long-term aquarium culture,fisheries,Global,Global,coral,other invert,No
2012,Effects of irradiance and light spectrum on growth of the scleractinian coral Galaxea fascicularis - Applicability of LEP and LED lighting to coral aquaculture,fisheries,Global,Global,coral,other invert,No
2012,"Factors affecting farmers' adoption of integrated rice-fish farming systems in the Mekong delta, Vietnam",agriculture,Vietnam,Asia,,,No
2012,"Feeding rate of juvenile red king crabs, Paralithodes camtschaticus, in the laboratory: effects of temperature, size, molting, and feeding frequency",temp; fisheries,Global,North America/Caribbean,crab,crustacea,No
2012,Good governance in 'One Health' approaches,disease,Global,Global,,,No
2012,Impact of climate change in Mediterranean aquaculture,"temp, drought, sea level, flloods",Mediterranean sea,"Europe, Africa, Middle East",,,Yes
2012,"Impacts of climate change on fish, fisheries and aquaculture",all,UK,Europe,,,Yes
2012,Impacts of Climate Change on West African Fisheries and its Implications on Food Production,fisheries,West Africa,Africa,,,No
2012,"Influence of fresh water, nutrients and DOC in two submarine-groundwater-fed estuaries on the west of Ireland","precipitation, pollution",Ireland,Europe,,,No
2012,"Institutions and Ecosystem-Based Development Potentials of the Elephant Marsh, Malawi","fisheries, agriculture",Malawi,Africa,,,No
2012,Jellyfish and Ctenophore Blooms Coincide with Human Proliferations and Environmental Perturbations,HAB,,,,,No
2012,Larval growth response of the Portuguese oyster (Crassostrea angulata) to multiple climate change stressors,"salinity, pH, temp",Global,Global,oyster,mollusc,No
2012,Late arrival of Anguilla japonica glass eels at the Sagami River estuary in two recent consecutive year classes: ecology and socio-economic impacts,temp,Japan,Asia,glass eels,finfish,Yes
2012,Livelihoods of Ornamental Coral Fishermen in South Sulawesi/Indonesia: Implications for Management,fisheries,Indonesia,Asia,coral,other invert,No
2012,Mangrove conservation: a global perspective,aquaculture,Global,Global,mangroves,,No
2012,Mangrove Ecosystems in the Mekong Delta - Overcoming Uncertainties in Inventory Mapping Using Satellite Remote Sensing Data,aquaculture,Vietnam,Asia,mangroves,,No
2012,"Nile tilapia Oreochromis niloticus (Linnaeus, 1758) establishment in temperate Mississippi, USA: multi-year survival confirmed by otolith ages",invasives,USA,North America/Caribbean,talapia,finfish,No
2012,NORWEGIAN SALMONID FARMING AND GLOBAL WARMING: SOCIOECONOMIC IMPACTS,temp,Norway,Europe,salmon,finfish,Yes
2012,Nutrition and income from molluscs today imply vulnerability to ocean acidification tomorrow,OA,,,,,No
2012,Options for support to agriculture and food security under climate change,agriculture,Global,Global,,,No
2012,Physiological and ecological characteristics in the life cycle of bloom-forming cyanobacteria,HAB,Global,Global,,,No
2012,Polycentric systems and interacting planetary boundaries - Emerging governance of climate change-ocean acidification-marine biodiversity,OA,Global,Global,,,No
2012,Predicted impact of the sea-level rise at Vellar-Coleroon estuarine region of Tamil Nadu coast in India: Mainstreaming adaptation as a coastal zone management option,sea level,India,Asia,,,Yes
2012,Recent Developments at the Federal Level in Ocean Policymaking in the United States,OA,USA,North America/Caribbean,,,No
2012,Review of climate change impacts on marine aquaculture in the UK and Ireland,"storms, extremes; sea level; precipitaion; HAB; disease; OA; temp",United Kingdom,Europe,mussels; salmon,mollusc,No
2012,Review of climate change impacts on marine aquaculture in the UK and Ireland,storms/extremess; sea level; precipitaion; HAB; disease; OA; temp,United Kingdom,Europe,mussels; salmon,mollusc; finfish,Yes
2012,Spatial and temporal dynamics of biotic and abiotic features of temperate coastal ecosystems as revealed by a combination of ecological indicators,"Chla, temp salinity, pollution",France,Europe,,,No
2012,"Survival, Growth and Reproduction of Non-Native Nile Tilapia II: Fundamental Niche Projections and Invasion Potential in the Northern Gulf of Mexico",invasives,Gulf of Mexico,North America/Caribbean; Central America,talapia,finfish,No
2012,The Relationship between Phytoplankton Distribution and Water Column Characteristics in North West European Shelf Sea Waters,HAB,Global,Europe,,,No
2012,The rotifer Brachionus plicatilis: an emerging bio-tool for numerous applications,,Global,Global,,,No
2012,"The Water-Development Nexus: Importance of Knowledge, Information and Cooperation in the Mekong Delta","precipitation, pollution",Vietnam,Asia,,,No
2012,Thermal optimum for pikeperch (Sander lucioperca) and the use of ventilation frequency as a predictor of metabolic rate,temp,Global,Global,pikeperch,finfish,No
2012,UVB Radiation Variably Affects n-3 Fatty Acids but Elevated Temperature Reduces n-3 Fatty Acids in Juvenile Atlantic Salmon (Salmo salar),temp,Global,Global,salmon,finfish,No
2012,Wastewater irrigation and environmental health: Implications for water governance and public policy,pollution,,,,,No
2013,A heart to heart on temperature: Impaired temperature tolerance of triploid rainbow trout (Oncorhynchus mykiss) due to early onset of cardiac arrhythmia,temp,Global,Global,trout,finfish,No
2013,Algae blooms in the Yellow Sea between 2010 and 2012 from MODIS observations,HAB,China,Asia,,,No
2013,"Comparison of the growth performance of offspring from cultured versus wild populations of arctic charr, Salvelinus alpinus (L.), kept at three different temperatures",temp,Global,Global,charr,finfish,No
2013,Cumulative Pressures on Sustainable Livelihoods: Coastal Adaptation in the Mekong Delta,"storms, extremes, floods,  sea levels",Vietnam,Asia,,,No
2013,Design theory in offshore fish cage designing,fisheries,Global,Global,,,No
2013,Detecting large scale conversion of mangroves to aquaculture with change point and mixed-pixel analyses of high-fidelity MODIS data,aquaculture,Global,Global,mangroves,,No
2013,Determining Optimum Temperature for Growth and Survival of Laboratory-Propagated Juvenile Freshwater Mussels,temp,Global,Global,mussel,mollusc,No
2013,Distribution of the invasive bryozoan Tricellaria inopinata in Scotland and a review of its European expansion,"invasives, OA",Scotland,Europe,,,No
2013,Drought and Flood Variations and Rationality of Land Use in Honghu Lake during the Last 50 Years,"drought, flood",China,Asia,,,No
2013,Economic Impacts of Climate Change on Two Mexican Coastal Fisheries: Implications for Food Security,fisheries,Mexico,Central America,,,No
2013,"Effect of temperature and salinity on egg hatching and description of the life cycle of Lernanthropus latis (Copepoda: Lernanthropidae) infecting barramundi, Lates calcarifer","temp, salinity, disease",Global,Global,barramundi,finfish,No
2013,"Elevated pCO(2) causes developmental delay in early larval Pacific oysters, Crassostrea gigas",OA,Global,Global,oyster,mollusc,No
2013,Food security and the Coral Triangle Initiative,fisheries,Global,"Asia, Oceania",,,No
2013,"Future socio-economic and environmental sustainability of the Irish Sea requires a multi-disciplinary approach with industry and research collaboration, and cross-border partnership","temp, disease, OA, hypoxia",Ireland,Europe,,,No
2013,IMPACT OF CLIMATE CHANGE ON THE DAILY WATER LEVEL FLUCTUATION OF LAKE SAPANCA,"temp, precipitation, storms/extremess",Turkey,Europe,,,Yes
2013,Impact of medium-term exposure to elevated pCO(2) levels on the physiological energetics of the mussel Mytilus chilensis,OA,Global,Global,mussel,mollusc,Yes
2013,Impacts and vulnerability of inland fisheries to climate change in the Ganga River system in India,"temp, precipitation, drought, storms/extremess, floods, sea level",India,Asia,hatcheries,general,Yes
2013,"Influences of Cyclic, High Temperatures on Juvenile Channel Catfish Growth and Feeding",temp,USA,North America/Caribbean,catfish,finfish,No
2013,Innovative Artificial Agro-Ecosystems Enhance Soil Carbon Sequestration in Coastal Zones of Southeast China,agriculture,China,Asia,,,No
2013,Introduced marine species in Croatian waters (Eastern Adriatic Sea),invasives,Croatia,Europe,,,No
2013,LCA and emergy accounting of aquaculture systems: Towards ecological intensification,"temp, OA",Global,Global,,,No
2013,Life Cycle Assessment for environmentally sustainable aquaculture management: a case study of combined aquaculture systems for carp and tilapia,pollution,Indonesia,Asia,"carp, talapia",finfish,No
2013,Linking prawn and shrimp farming towards a green economy in Bangladesh: Confronting climate change,"storms, extremes, floods,  sea levels",Bangladesh,Asia,shrimp,crustacea,No
2013,Marine research in the Iberian Peninsula: A pledge for better times after an economic crisis,all,Spain,Europe,,,No
