Year,Title,Topic/Impact,Country Study Focus,Region,Spp
2004,Are diseases increasing in the ocean?,disease,Global,Global,
2004,"Accumulation of arsenic in Pacific oysters, Crassostrea gigas, collected from aquaculture sites in western Taiwan",toxin,Taiwan,Asia,oyster
2005,Disease and health management in Asian aquaculture,disease,Asia,Asia,
2006,Introduced macroalgae - a growing concern,invasives,,Global,
2007,Geographic and seasonal patterns and limits on the adaptive response to temperature of European Mytilus spp. and Macoma balthica populations,temp,,Europe,mussels
2008,Global introductions of salmon and trout in the genus Oncorhynchus: 1870-2007,invasives,,Global,salmon
2008,"Changes in the immune response and metabolic fingerprint of the mussel, Mytilus edulis (Linnaeus) in response to lowered salinity and physical stress",precipitation,,Global,mussel
2008,Modeling climate change and the effect on the norwegian salmon farming industry,temp,Norway,Europe,salmon
2008,"Major diseases and the defence mechanism in giant freshwater prawn, Macrobrachium rosenbergii (de Man)",disease,,,shrimp
2008,IMPACT OF SEA-LEVEL RISE ON CHIAYI COAST,sea level,Taiwan,Asia,
2009,Scientific uncertainty and the assessment of risks posed by non-native freshwater fishes,invasives,,,
2009,Assessing the impact of climate change on inland fisheries in River Ganga and its plains in India,temp,India,Asia,
2009,DESERTS AND DESERTIFICATION: CHALLENGES BUT ALSO OPPORTUNITIES,drought,,Global,
2009,Beyond the optimum - Aquaculture nutrition and climate change,temp,,Global,
2010,Current knowledge on non-native freshwater fish introductions,invasives,,Global,
2010,Emerging viral diseases of fish and shrimp,disease,,Global,"fish, shrimp"
2010,Insights into shell deposition in the Antarctic bivalve Laternula elliptica: gene discovery in the mantle transcriptome using 454 pyrosequencing,OA,,,bivalves
2010,Temperature and salmonid reproduction: implications for aquaculture,temp,,Global,salmon
2010,"Increasing water temperature and disease risks in aquatic systems: Climate change increases the risk of some, but not all, diseases","disease, temp",Finland,Europe,
2010,Shellfish toxicity: human health implications of marine algal toxins,HAB,,Global,
2010,Patagonian Fjord Ecosystems in Southern Chile as a Highly Vulnerable Region: Problems and Needs,temp,Chile,South America,
2010,Metabolic and molecular stress responses of gilthead seam bream Sparus aurata during exposure to low ambient temperature: an analysis of mechanisms underlying the winter syndrome,temp,Mediterranean,"Europe, Africa, Middle East",seabream
2010,Impact of climate change stressors on marine invertebrate life histories with a focus on the Mollusca and Echinodermata,temp; OA,,,invertebrates
2010,Growth and mortality of Arctic charr and European whitefish reared at low temperatures,temp,,Europe,Arctic charr & Eur whitefish
2010,Global Water and Food Security: Megatrends and Emerging Issues,"drought, precipitation",,Global,
2011,"Populations of the Sydney rock oyster, Saccostrea glomerata, vary in response to ocean acidification",OA,Australia,Oceania,oyster
2011,Changing dietary habits in a changing world: Emerging drivers for the transmission of foodborne parasitic zoonoses,temp; disease,,Global,
2011,Identification of genes associated with heat tolerance in Arctic charr exposed to acute thermal stress,temp,,Global,arctic charr
2011,"Toxic marine microalgae and shellfish poisoning in the British isles: history, review of epidemiology, and future implications",HAB,British Isles,Europe,
2011,The importance of parentage in assessing temperature effects on fish early life history: a review of the experimental literature,temp,,Global,fish
2011,The application of epidemiology in aquatic animal health -opportunities and challenges,disease,,Global,
2011,"A review of non-native seaweeds from California, USA and Baja California, Mexico",invasives,,North America/Caribbean; Central America,
2011,"Ribosomal genes and heat shock proteins as putative markers for chronic, sublethal heat stress in Arctic charr: applications for aquaculture and wild fish",temp,,,
2011,Potential effects of climate change on the chemical quality of aquatic biota,toxins,,,
2011,Ballast sediment-mediated transport of non-indigenous species of dinoflagellates on the East Coast of Canada,invasives,,North America/Caribbean,
2011,The Impact of Weather Variability on Rice and Aquaculture Production in the Mekong Delta,storms/extremess,,Asia,
2011,Massive freshwater gains from producing food at sea,drought,,Global,
2011,ISOLATION AND EVALUATION OF NEW PROBIOTIC BACTERIA FOR USE IN SHELLFISH HATCHERIES: I. ISOLATION AND SCREENING FOR BIOACTIVITY,disease,,,
2011,Climate change and fish culture in Patagonia: present situation and perspectives,temp,,South America,
2011,Varying disease-mediated selection at different life-history stages of Atlantic salmon in fresh water,disease,,,salmon
2011,Climate Change in the Mekong River Delta and Key Concerns on Future Climate Threats,temp; drought; sea level; floods,,Asia,
2011,Options on Fisheries and Aquaculture for Coping with Climate Change in South Asia,temp; hypoxia; disease; sea level; flood; drought; storms/extremess; precip,,Asia,all
2011,Using dynamical seasonal forecasts in marine management,temp,Australia,Oceania,tuna
2011,Estuarine and Marine Pollutants,HAB,Japan,Asia,
2011,"AN OVERVIEW OF THE BLUE MUSSEL IN SOUTHERN AUSTRALIA - A SERIAL INVADER, A BLIND PASSENGER, OR JUST A WELCOME ADDITION TO THE MENU?",Invasives,Australia,Oceania,mussel
2011,Aquaculture and Climate Change: Challenges for Food and Livelihood Security in Developing Countries,no abstract,,,
2011,Building Nigeria's Response to Climate Change: Pilot Projects for Community-Based Adaptation in Nigeria,"temp, flood, precipitation, drought, stroms/extremes",Nigeria,Africa,
2012,Jellyfish and Ctenophore Blooms Coincide with Human Proliferations and Environmental Perturbations,HAB,,,
2012,Can marine fisheries and aquaculture meet fish demand from a growing human population in a changing climate?,temp,,Global,
2012,CHANGING COASTS: MARINE ALIENS AND ARTIFICIAL STRUCTURES,invasives,,Global,
2012,Polycentric systems and interacting planetary boundaries - Emerging governance of climate change-ocean acidification-marine biodiversity,OA,,Global,
2012,Wastewater irrigation and environmental health: Implications for water governance and public policy,pollution,,,
2012,Nutrition and income from molluscs today imply vulnerability to ocean acidification tomorrow,OA,,,
2012,Review of climate change impacts on marine aquaculture in the UK and Ireland,storms/extremess; sea level; precipitaion; HAB; disease; OA; temp,United Kingdom,Europe,mussels; salmon
2012,"Survival, Growth and Reproduction of Non-Native Nile Tilapia II: Fundamental Niche Projections and Invasion Potential in the Northern Gulf of Mexico",invasives,Gulf of Mexico,North America/Caribbean; Central America,talapia
2012,Thermal optimum for pikeperch (Sander lucioperca) and the use of ventilation frequency as a predictor of metabolic rate,temp,,Global,pikeperch
2012,The Relationship between Phytoplankton Distribution and Water Column Characteristics in North West European Shelf Sea Waters,HAB,,Europe,
2012,An overview of global climate changing in current scenario and mitigation action,all,,Global,
2012,"Nile tilapia Oreochromis niloticus (Linnaeus, 1758) establishment in temperate Mississippi, USA: multi-year survival confirmed by otolith ages",invasives,USA,North America/Caribbean,talapia
2012,"Influence of fresh water, nutrients and DOC in two submarine-groundwater-fed estuaries on the west of Ireland","precipitation, pollution",Ireland,Europe,
2012,"Adapting bioenergetic factorial modelling to understand the implications of heat stress on barramundi (Lates calcarifer) growth, feed utilisation and optimal protein and energy requirements - potential strategies for dealing with climate change?",temp,,Global,barramundi
2012,Larval growth response of the Portuguese oyster (Crassostrea angulata) to multiple climate change stressors,"salinity, pH, temp",,Global,oyster
2012,Impact of climate change in Mediterranean aquaculture,"temp, drought, sea level, flloods",Mediterranean sea,"Europe, Africa, Middle East",
2012,Predicted impact of the sea-level rise at Vellar-Coleroon estuarine region of Tamil Nadu coast in India: Mainstreaming adaptation as a coastal zone management option,sea level,India,Asia,
2012,Spatial and temporal dynamics of biotic and abiotic features of temperate coastal ecosystems as revealed by a combination of ecological indicators,"Chla, temp salinity, pollution",France,Europe,
2012,Late arrival of Anguilla japonica glass eels at the Sagami River estuary in two recent consecutive year classes: ecology and socio-economic impacts,temp,Japan,Asia,glass eels
2012,NORWEGIAN SALMONID FARMING AND GLOBAL WARMING: SOCIOECONOMIC IMPACTS,temp,Norway,Europe,salmon
2012,"Impacts of climate change on fish, fisheries and aquaculture",all,UK,Europe,
2012,Detection of the tropical mussel species Perna viridis in temperate Western Australia: possible association between spawning and a marine heat pulse,temp,Australia,Oceania,mussel
2012,"The Water-Development Nexus: Importance of Knowledge, Information and Cooperation in the Mekong Delta","precipitation, pollution",Vietnam,Asia,
2012,UVB Radiation Variably Affects n-3 Fatty Acids but Elevated Temperature Reduces n-3 Fatty Acids in Juvenile Atlantic Salmon (Salmo salar),temp,,Global,salmon
2012,Recent Developments at the Federal Level in Ocean Policymaking in the United States,OA,USA,North America/Caribbean,
2012,Aquaculture and Agricultural Production in the Mekong Delta and its Effects on Nutrient Pollution of Soil and Water,pollution,Vietnam,Asia,
2012,"Biology and culture of the clown loach Chromobotia macracanthus (Cypriniformes, Cobitidae): 2-Importance of water movement and temperature during egg incubation",temp,,Global,
2012,Good governance in 'One Health' approaches,disease,,Global,
2012,Physiological and ecological characteristics in the life cycle of bloom-forming cyanobacteria,HAB,,Global,
2013,Mixed responses of tropical Pacific fisheries and aquaculture to climate change,"temp, sea level",SINs,Oceania,
2013,Impact of medium-term exposure to elevated pCO(2) levels on the physiological energetics of the mussel Mytilus chilensis,OA,,Global,mussel
2013,"RNA-Seq reveals expression signatures of genes involved in oxygen transport, protein synthesis, folding, and degradation in response to heat stress in catfish",temp,,Global,catfish
2013,Securing ocean benefits for society in the face of climate change,All,,Global,
2013,Monitoring land cover dynamics in the Yellow River Delta from 1995 to 2010 based on Landsat 5 TM,"sea level, floods, pollution",China,Asia,
2013,"Variation in temperature tolerance among families of Atlantic salmon (Salmo salar) is associated with hypoxia tolerance, ventricle size and myoglobin level",temp,,Global,salmon
2013,More rapid and severe disease outbreaks for aquaculture at the tropics: implications for food security,disease,Tropics,Global,shellfish
2013,Women and fisheries: Contribution to food security and local economies,all,,,
2013,"Elevated pCO(2) causes developmental delay in early larval Pacific oysters, Crassostrea gigas",OA,,Global,oyster
2013,Life Cycle Assessment for environmentally sustainable aquaculture management: a case study of combined aquaculture systems for carp and tilapia,pollution,Indonesia,Asia,"carp, talapia"
2013,Transcriptional responses to temperature and low oxygen stress in Atlantic salmon studied with next-generation sequencing technology,"temp, hypoxia",Norway,Europe,salmon
2013,Towards improved socio-economic assessments of ocean acidification's impacts,OA,,Global,hactheries
2013,A heart to heart on temperature: Impaired temperature tolerance of triploid rainbow trout (Oncorhynchus mykiss) due to early onset of cardiac arrhythmia,temp,,Global,trout
2013,LCA and emergy accounting of aquaculture systems: Towards ecological intensification,"temp, OA",,Global,
2013,"Site-specific and integrated adaptation to climate change in the coastal mangrove zone of Soc Trang Province, Viet Nam","storms/extremess, floods,  sea levels",Vietnam,Asia,mangroves
2013,Introduced marine species in Croatian waters (Eastern Adriatic Sea),invasives,Croatia,Europe,
2013,Oyster mortality in Delaware Bay: Impacts and recovery from Hurricane Irene and Tropical Storm Lee,stroms,USA,,oyster
2013,Linking prawn and shrimp farming towards a green economy in Bangladesh: Confronting climate change,"storms/extremess, floods,  sea levels",Bangladesh,Asia,shrimp
2013,Physiological and behavioral responses of temperate seahorses (Hippocampus guttulatus) to environmental warming,temp,,Global,seahorses
2013,The times are changing: temporal shifts in patterns of fish invasions in central European fresh waters,invasives,,Europe,
2013,Cumulative Pressures on Sustainable Livelihoods: Coastal Adaptation in the Mekong Delta,"storms/extremess, floods,  sea levels",Vietnam,Asia,
2013,Selecting stocking density in different climatic seasons: A decision theory approach to intensive aquaculture,temp,Australia,Oceania,
2013,Distribution of the invasive bryozoan Tricellaria inopinata in Scotland and a review of its European expansion,"invasives, OA",,,
2013,The impact of a moderate chronic temperature increase on spleen immune-relevant gene transcription depends on whether Atlantic cod (Gadus morhua) are stimulated with bacterial versus viral antigens,temp,Canada,North America/Caribbean,cod
2013,Thermal Preference of Juvenile Dover Sole (Solea solea) in Relation to Thermal Acclimation and Optimal Growth Temperature,temp,,Global,sole
2013,Selecting stocking density in different climatic seasons: A decision theory approach to intensive aquaculture,temp,,Global,shrimp
2013,Impacts and vulnerability of inland fisheries to climate change in the Ganga River system in India,"temp, precipitation, drought, storms/extremess, floods, sea level",India,Asia,hatcheries
2013,Socio-economic impacts of ocean acidification in the Mediterranean Sea,OA,,Europe,
2013,"Influences of Cyclic, High Temperatures on Juvenile Channel Catfish Growth and Feeding",temp,USA,North America/Caribbean,catfish
2013,IMPACT OF CLIMATE CHANGE ON THE DAILY WATER LEVEL FLUCTUATION OF LAKE SAPANCA,"temp, precipitation, storms/extremess",Turkey,Europe,
2013,Determining Optimum Temperature for Growth and Survival of Laboratory-Propagated Juvenile Freshwater Mussels,temp,,Global,mussel
2013,"Future socio-economic and environmental sustainability of the Irish Sea requires a multi-disciplinary approach with industry and research collaboration, and cross-border partnership","temp, disease, OA, hypoxia",Ireland,Europe,
2013,"Effect of temperature and salinity on egg hatching and description of the life cycle of Lernanthropus latis (Copepoda: Lernanthropidae) infecting barramundi, Lates calcarifer","temp, salinity, disease",,Global,barramundi
2013,"Comparison of the growth performance of offspring from cultured versus wild populations of arctic charr, Salvelinus alpinus (L.), kept at three different temperatures",temp,,Global,charr
2013,Marine research in the Iberian Peninsula: A pledge for better times after an economic crisis,all,Spain,Europe,
2013,Time consuming resource extraction in an overlapping generations economy with capital,all,,Global,
2013,"Twenty five years of freshwater aquaculture extension research in the Central Institute of Freshwater Aquaculture, Bhubaneswar, Odisha - a review",temp,India,Asia,freshwater aquaculture
2013,Algae blooms in the Yellow Sea between 2010 and 2012 from MODIS observations,HAB,China,Asia,
2013,Drought and Flood Variations and Rationality of Land Use in Honghu Lake during the Last 50 Years,"drought, flood",China,Asia,
2014,Does aquaculture add resilience to the global food system?,all,,Global,
2014,Vulnerability of coastal ecosystems to changes in harmful algal bloom distribution in response to climate change: projections based on model analysis,HAB,,Global,
2014,The impact of climate change on mediterranean intertidal communities: losses in coastal ecosystem integrity and services,"temp, invasives",Israel,Middle East,
2014,Sequencing-based gene network analysis provides a core set of gene resource for understanding thermal adaptation in Zhikong scallop Chlamys farreri,temp,,Global,scallop
2014,Life in a shrimp zone: aqua- and other cultures of Bangladesh's coastal landscape,storms/extremess,Bangladesh,Asia,shrimp
2014,"Sedimentation in the floodplains of the Mekong Delta, Vietnam Part II: deposition and erosion",flood,Vietnam,Asia,
2014,Vulnerability of rural livelihoods to multiple stressors: A case study from the southwest coastal region of Bangladesh,"flood, sea level",Bangladesh,Asia,
2014,Field scale evaluation of seaweed aquaculture as a nutrient bioextraction strategy in Long Island Sound and the Bronx River Estuary,mitigation,USA,North America/Caribbean,seaweed
2014,A Quantitative Metric to Identify Critical Elements within Seafood Supply Networks,all,,Global,
2014,The potential impact of climate change on the infectious diseases of commercially important shellfish populations in the Irish Sea-a review,disease,Ireland,Europe,shellfish
2014,"Simulated Impacts of Climate Change on Current Farming Locations of Striped Catfish (Pangasianodon hypophthalmus; Sauvage) in the Mekong Delta, Vietnam","salinity, sea level, floods",Vietnam,Asia,catfish
2014,Exposure of Mediterranean Countries to Ocean Acidification,OA,Mediterranean,"Europe, Africa, Middle East",
2014,Monitoring toxic Ostreopsis cf. ovata in recreational waters using a qPCR based assay,HAB,Mediterranean,"Europe, Africa, Middle East",
2014,Assessment of chlorophyll variability along the northwestern coast of Iberian Peninsula,Chla,Spain,Europe,
2014,Benthic community changes following the 2010 Hainan flood: Implications for reef resilience,flood,China,Asia,coral
2014,Spatiotemporal variations in suitable areas for Japanese scallop aquaculture in the Dalian coastal area from 2003 to 2012,"temp, chla, pollution",Japan,Asia,scallop
2014,Community- based climate change adaptation strategies for integrated prawn- fish- rice farming in Bangladesh to promote social- ecological resilience,"temp, drought, sea level",Bangladesh,Asia,shrimp
2014,Drifting algae and fish: Implications of tropical Sargassum invasion due to ocean warming in western Japan,HAB,Japan,Asia,
2014,Fishing for the impacts of climate change in the marine sector: a case study,all,Australia,Oceania,oyster
2014,"The regional impacts of climate change on coastal environments and the aquaculture of Japanese scallops in northeast Asia: case studies from Dalian, China, and Funka Bay, Japan","precipitation, temp, wind","China, Japan",Asia,scallop
2014,Storm-induced changes in coastal geomorphology control estuarine secondary productivity,"stroms, chla",Canada,North America/Caribbean,mussel
2014,Climate and Human-induced Changes to Lake Ecosystems: What We Can Learn From Monitoring Zooplankton Ecology,chla,Germany,Europe,
2014,Mediterranean Aquaculture in a Changing Climate,"temp, sea level",,"Europe, Africa, Middle East",
2014,THE FRESHWATER CRAYFISH FAUNA OF AUSTRALIA: UPDATE ON CONSERVATION STATUS AND THREATS,all,Australia,Oceania,
2014,Role of Anchovies and Sardines as Reduction Fisheries in the World Fish Meal Production Overview of the Interaction between the Resource and Environmental and Socioeconomic Drivers,feed,,Global,
2014,Numerical Simulation on Coastal Environment in Kamaishi Bay (Japan) by MEC Model,"pollution, storms/extremess",Japan,Asia,
2014,Fishing for the impacts of climate change in the marine sector: a case study,"temp, precipitation",China & Japan,Asia,scallop
2015,Mussels as a Model System for Integrative Ecomechanics,all,,Global,mussel
2015,Temperature during early development has long-term effects on microRNA expression in Atlantic cod,temp,,"North America/Caribbean, Europe",cod
2015,Physiology in the service of fisheries science: Why thinking mechanistically matters,temp,,Global,
2015,Local perceptions of and adaptation to climate variability and change: the case of shrimp farming communities in the coastal region of Bangladesh,"flood, sea level",Bangladesh,Asia,
2015,Growth potential of blue mussels (M-edulis) exposed to different salinities evaluated by a Dynamic Energy Budget model,"salinity, sea level, floods",,Global,mussel
2015,Facing the wave of change: stakeholder perspectives on climate adaptation for Australian seafood supply chains,all,Australia,Oceania,
2015,Projected changes to Tasman Sea eddies in a future climate,temp,Australia,Oceania,
2015,Gauging perceptions of ocean acidification in Alaska,OA,USA,North America/Caribbean,
2015,Environmental performance of brackish water polyculture system from a life cycle perspective: A Filipino case study,"salinity, sea level, floods",Phillipines,Asia,
2015,"Effects and mitigations of ocean acidification on wild and aquaculture scallop and prawn fisheries in Queensland, Australia",OA,Australia,Oceania,shrimp
2015,Using bio-optical parameters as a tool for detecting changes in the phytoplankton community (SW Portugal),HAB,Portugal,Europe,
2015,Climate change and coastal aquaculture farmers' risk perceptions: experiences from Bangladesh and Denmark,all,"Denmark, Bangladesh","Europe, Asia",
2015,Transport of harmful marine microalgae via ship's ballast water: Management and mitigation with special reference to the Arabian Gulf region,HAB,,Middle East,
2015,Enhancing water and cropping productivity through Integrated System of Rice Intensification (ISRI) with aquaculture and horticulture under rainfed conditions,drought,India,Asia,
2015,The effect of temperature and ration size on specific dynamic action and production performance in juvenile hapuku (Polyprion oxygeneios),temp,,,hapuku
2015,"Adaptation to climate change as social-ecological trap: a case study of fishing and aquaculture in the Tam Giang Lagoon, Vietnam",all,Vietnam,Asia,
2015,Predicting environmental drivers for prawn aquaculture production to aid improved farm management,"temp, precipitation, drought",Australia,Oceania,shrimp
2015,Climate Change Influences Carrying Capacity in a Coastal Embayment Dedicated to Shellfish Aquaculture,chla,Canada,North America/Caribbean,shellfish
2015,Non-stationary extreme value models to account for trends and shifts in the extreme wave climate due to climate change,storms/extremess,,,
2015,The impact of climate change on existing and emerging microbial threats across the food chain: An island of Ireland perspective,HAB,Ireland,Europe,
2015,Comparing environmental impacts of native and introduced freshwater prawn farming in Brazil and the influence of better effluent management using LCA,invasives,Brazil,South America,shrimp
2015,Perceptions of climate-related risks and awareness of climate change of fish cage farmers in northern Thailand,"floods, drought",Thailand,Asia,
2015,"Cascading effects from survival to physiological activities, and gene expression of heat shock protein 90 on the abalone Haliotis discus hannai responding to continuous thermal stress",temp,,,abalone
2015,Evaluating community impacts of ocean acidification using qualitative network models,OA,,,
2015,The sxt Gene and Paralytic Shellfish Poisoning Toxins as Markers for the Monitoring of Toxic Alexandrium Species Blooms,HAB,Mediterranean,"Europe, Africa, Middle East",shellfish
2015,"Pacific oysters, Crassostrea gigas, established in Scotland",invasives,Scotland,Europe,oyster
2015,Shrimp aquaculture as a vehicle for Climate Compatible Development in Sri Lanka. The case of Puttalam Lagoon,all,Sri Lanka,Asia,shrimp
2015,Study of Adsorption and Flocculation Properties of Natural Clays to Remove Prorocentrum lima,HAB,,Global,
2015,"The ecology, evolution, impacts and management of host-parasite interactions of marine molluscs",disease,,Global,mollusc
2015,"Quantitative Impacts of Climate Change and Human Activities on Water-Surface Area Variations from the 1990s to 2013 in Honghu Lake, China","floods, drought",China,Asia,
2015,Thermal stress in Arctic charr Salvelinus alpinus broodstock: a 28 year case study,temp,Sweden,Europe,artic charr
2015,Funding climate adaptation strategies with climate derivatives,temp,Australia,Oceania,
2015,"SENSITIVITY OF MEDITERRANEAN BIVALVE MOLLUSC AQUACULTURE TO CLIMATE CHANGE, OCEAN ACIDIFICATION, AND OTHER ENVIRONMENTAL PRESSURES: FINDINGS FROM A PRODUCER SURVEY",all,Mediterranean,"Europe, Africa, Middle East",mollusc
2015,Physiology and biogeography: The response of European mussels (Mytilus spp.) to climate change,temp,,Europe,mussel
2015,CLIMATE CHANGE EFFECTS ON AQUACULTURE PRODUCTION PERFORMANCE IN MALAYSIA: AN ENVIRONMENTAL PERFORMANCE ANALYSIS,all,Malaysia,Asia,
2015,"DEALING WITH OCEAN ACIDIFICATION: THE PROBLEM, THE CLEAN WATER ACT, AND STATE AND REGIONAL APPROACHES",OA,USA,"North America/Caribbean, Europe",
2015,Can Cylindrospermopsis raciborskii invade the Baltic Sea?,HAB,Finland,Europe,
2015,Impact of Climate Change on Aquaculture: The Need for Alternative Feed Components,"temp, OA",,Global,
