Year,Title,Topic/Impact,Country Study Focus,Region,Spp
2015,Polyhouse driven raised-temperature induces cichlid tilapia to breed during winter,temp,,,tilapia
2015,Environmental change: prospects for conservation and agriculture in a southwest Australia biodiversity hotspot,"temp, chla, pollution",Australia,Oceania,
2015,SCOPING STUDY ON COASTAL SQUEEZE IN THE AYEYARWADY DELTA,"flood, sea level, storms/extremess",Myanmar,Asia,
2015,Planning for Production of Freshwater Fish Fry in a Variable Climate in Northern Thailand,"temp, precipitation",Thailand,Asia,
2016,A hierarchical approach to defining marine heatwaves,temp,,Global,
2016,Seasonal forecasting for decision support in marine fisheries and aquaculture,all,Australia,Oceania,
2016,Impacts of ocean acidification in a warming Mediterranean Sea: An overview,"temp, OA",Mediterranean,"Europe, Africa, Middle East",
2016,Towards the optimization of performance of Atlantic salmon reared at different water temperatures via the manipulation of dietary ARA/EPA ratio,temp,,,salmon
2016,Interactive Effects of Seawater Acidification and Elevated Temperature on the Transcriptome and Biomineralization in the Pearl Oyster Pinctada fucata,"OA, temp",,,oyster
2016,"Integrated assessment of social and environmental sustainability dynamics in the Ganges-Brahmaputra-Meghna delta, Bangladesh","floods, drought",Bangladesh,Asia,
2016,Evidence of freshwater algal toxins in marine shellfish: Implications for human and aquatic health,HAB,USA,North America/Caribbean,"mussel, oyster"
2016,Transcriptome and biomineralization responses of the pearl oyster Pinctada fucata to elevated CO2 and temperature,"temp, OA",,,oyster
2016,Are fish in hot water? Effects of warming on oxidative stress metabolism in the commercial species Sparus aurata,temp,,,seabream
2016,"Brachyuran diversity along Mediterranean Egypt, with the addition of a new introduced species",invasives,Egypt,Middle East,
2016,Effects of environmental and farm stress on abalone physiology: perspectives for abalone aquaculture in the face of global climate change,"temp, salinity, disease",Australia,Oceania,abalone
2016,Germplasm banking of the giant kelp: Our biological insurance in a changing environment,"storms/extremess, disease",Chile,South America,kelp
2016,Assessing relative vulnerability to sea-level rise in the western part of the Mekong River Delta in Vietnam,sea level,Vietnam,Asia,
2016,Effects of temperature and ocean acidification on shell characteristics of Argopecten purpuratus: implications for scallop aquaculture in an upwelling-influenced area,"OA, temp",Chile,South America,scallop
2016,"Assessment of the thermal tolerance of abalone based on cardiac performance in Haliotis discus hannai, H. gigantea and their interspecific hybrid",temp,China,Asia,abalone
2016,"Conflictive uses of coastal areas: A case study in a southern European coastal lagoon (Ria de Alvor, Portugal)",all,,Europe,
2016,Vulnerability of a semienclosed estuarine sea to ocean acidification in contrast with hypoxia,"OA, hypoxia",USA,North America/Caribbean,
2016,Respiration rates of the copepod Pseudodiaptomus annandalei in tropical waters: beyond the thermal optimum,temp,Malaysia,Asia,
2016,"Non-additive effects of ocean acidification in combination with warming on the larval proteome of the Pacific oyster, Crassostrea gigas","temp, OA",,,oyster
2016,A bibliometric analysis of oyster research from 1991 to 2014,OA,,Global,oyster
2016,Meeting the climate change challenge: Pressing issues in southern China and SE Asian coastal ecosystems,all,China,Asia,
2016,Temperature Increase Negatively Affects the Fatty Acid Bioconversion Capacity of Rainbow Trout (Oncorhynchus mykiss) Fed a Linseed Oil-Based Diet,temp,,,
2016,Comparison of Integrated Responses to Nonlethal and Lethal Hypothermal Stress in Milkfish (Chanos chanos): A Proteomics Study,hypoxia,,,milkfish
2016,Economic impacts of climate change: profitability of freshwater aquaculture in China,all,China,Asia,
2016,Development of quantitative PCR assay for detection of the trematode parasite Proctoeces maculatus in the blue mussel Mytilus edulis,disease,,,mussel
2016,Bivalve aquaculture-environment interactions in the context of climate change,"temp, chla, precipitation",,Global,bivalves
2016,Towards using thermal stress thresholds to predict salmonid invasion potential,"temp, invasives",South Africa,Africa,salmon
2016,"Impacts, Perceptions and Management of Climate-Related Risks to Cage Aquaculture in the Reservoirs of Northern Thailand","temp, hypoxia, precipitation, storms/extremess",Thailand,Asia,
2016,Can Integrated Multi-Trophic Aquaculture (IMTA) adapt to climate change in coastal Bangladesh?,all,Bangladesh,Asia,shrimp
2016,Predicting the Dispersal Potential of an Invasive Polychaete Pest along a Complex Coastal Biome,Invasives,,Africa,
2016,Does climate change matter for freshwater aquaculture in Bangladesh?,"temp, flood, sea level, drought",Bangladesh,Asia,
2016,Tissue-overlapping response of half-smooth tongue sole (Cynoglossus semilaevis) to thermostressing based on transcriptome profiles,"temp, hypoxia",China,Asia,sole
2016,Synthesis and comparative analysis of physiological tolerance and life-history growth traits of marine aquaculture species,"temp, hypoxia",,Global,
2016,Biomimetic and bio-inspired uses of mollusc shells,OA,,,mollusc
2016,Effects of temperature on the final stages of sexual maturation in Atlantic salmon (Salmo salar L.),temp,,,salmon
2016,Climate change effects in the Bay of Bengal Large Marine Ecosystem,"temp, disease, storms/extremess",India,Asia,
2016,"Cyanobacteria in aquaculture systems: linking the occurrence, abundance and toxicity with rising temperatures","temp, HAB",Malaysia,Asia,
2016,Phosphorus partitioning in sediments from a tropical reservoir during a strong period of drought,drought,Brazil,South America,
2016,Climate hindcasts: exploring the disjunct distribution of Diopatra biscayensis,invasives,France,Europe,
2016,Predicting and mapping the risk of introduction of marine non-indigenous species into Great Britain and Ireland,invasives,United Kingdom,Europe,
2016,Mitigating uncertainty and enhancing resilience to climate change in the fisheries sector in Taiwan: Policy implications for food security,all,Taiwan,Asia,
2016,Restoring habitat and cultural practice in Australia's oldest and largest traditional aquaculture system,"floods, drought",Australia,Oceania,eel
2016,"Evolutionary social and biogeophysical changes in the Amazon, Ganges-Brahmaputra-Meghna and Mekong deltas","flood, sea level, drought",,Asia; South America,
2016,"Implications of marine environment change on Japanese scallop (Mizuhopecten yessoensis) aquaculture suitability: a comparative study in Funka and Mutsu Bays, Japan",temp,Japan,Asia,scallop
2016,"ACQUA: Automated Cyanobacterial Quantification Algorithm for toxic filamentous genera using spline curves, pattern recognition and machine learning",HAB,,,
2016,"Variations in massive Porites growth rates at Hainan Island, northern South China Sea",temp,China,Asia,
2016,Mechanism and Aquaculture Application of Teleost Enzymes Adapted at Low Temperature,temp,,Global,fish
2016,On the neglected cold side of climate change and what it means to fish,temp,,Global,fish
2016,"Review of the Decline in Freshwater Natural Resources and Future of Inland Fisheries and Aquaculture: Threatened Livelihood and Food Security in Indus Valley, Pakistan","flood, drought, precipitation",Pakistan,Middle East,
2016,"Susceptibility to environmental variability of the aquaculture sector in the State of Colima, Mexico: case study",temp,Mexico,Central America,tilapia
2016,"Charting the Research Course for Sustainable Aquaculture in Sabah, Malaysia",pollution,Malaysia,Asia,
2016,Water Management for Agricultural Production in a Coastal Province of the Mekong River Delta Under Sea-level Rise,sea level,Vietnam,Asia,
2016,Aquaculture Adaptation to Climate Change in Vietnam's Mekong Delta,all,Vietnam,Asia,
2016,"Impacts of Climate Change on the Environment, Economy, and Society of China",sea level,China,Asia,
2016,"Can ""Integrated Multi-Trophic Aquaculture (IMTA)"" adapt to climate change in coastal Bangladesh?","flood, sea level",Bangladesh,Asia,
2016,Impacts of ocean acidification in a warming Mediterranean Sea: An overview,temp,,Europe,
2016,"CLIMATE CHANGE ADAPTATION BY MANGROVE-DEPENDENT FISHING COMMUNITIES IN SOUTHERN CROSS RIVER STATE, NIGERIA","flood, sea level, storms/extremess, precipitation",Nigeria,,mangroves
2017,Multiple across-strain and within-strain QTLs suggest highly complex genetic architecture for hypoxia tolerance in channel catfish,hypoxia,,Global,catfish
2017,Seaweed aquaculture in Norway: recent industrial developments and future perspectives,temp,Norway,Europe,seaweed
2017,Lessons from two high CO2 worlds - future oceans and intensive aquaculture,"temp, OA",,Global,
2017,Linking the biological impacts of ocean acidification on oysters to changes in ecosystem services: A review,OA,,Global,oyster
2017,Impacts of Land-Use Changes on the Lakes across the Yangtze Floodplain in China,floods,China,Asia,
2017,Ocean acidification and marine aquaculture in North America: potential impacts and mitigation strategies,OA,,North America/Caribbean,molluscs
2017,"Linked sustainability challenges and trade-offs among fisheries, aquaculture and agriculture",temp,,Global,
2017,Factors affecting yield and gelling properties of agar,temp,,Global,seaweed
2017,Ocean acidification: assessing the vulnerability of socioeconomic systems in Small Island Developing States,OA,SIDS,SIDS,
2017,hsp90 and hsp47 appear to play an important role in minnow Puntius sophore for surviving in the hot spring run-off aquatic ecosystem,temp,India,Asia,minnow
2017,Hydrochemistry and trophic state change in a large reservoir in the Brazilian northeast region under intense drought conditions,drought,Brazil,South America,
2017,Biochemical alterations in native and exotic oyster species in Brazil in response to increasing temperature,temp,Brazil,South America,oyster
2017,The impact of the expansion of shrimp aquaculture on livelihoods in coastal Bangladesh,"salinity, sea level, floods",Bangladesh,Asia,shrimp
2017,"Anthropogenic threat assessment of marine-associated fauna in Spencer Gulf, South Australia",all,Australia,Oceania,
2017,Designing a global assessment of climate change on inland fishes and fisheries: knowns and needs,"temp, precipitation",,Global,
2017,The future of seaweed aquaculture in a rapidly changing world,all,,Global,seaweed
2017,A comparative appraisal of the resilience of marine social-ecological systems to mass mortalities of bivalves,all,,Global,bivalves
2017,Seafood from a changing Arctic,"temp, hypoxia, precipitation",,"Europe, North America",
2017,"Physiological responses of reared sea bream (Sparus aurata Linnaeus, 1758) to an Amyloodinium ocellatum outbreak",disease,,,seabream
2017,Physiological and histopathological impacts of increased carbon dioxide and temperature on the scallops Argopecten purpuratus cultured under upwelling influences in northern Chile,"temp, OA",Chile,South America,scallop
2017,The Current Status and Future of Central Asia's Fish and Fisheries: Confronting a Wicked Problem,drought,,Asia,
2017,Response of Atlantic salmon Salmo salar to temperature and dissolved oxygen extremes established using animal-borne environmental sensors,"temp, hypoxia",Australia,Oceania,salmon
2017,"On the occurrence of three non-native cichlid species including the first record of a feral population of Pelmatolapia (Tilapia) mariae (Boulenger, 1899) in Europe",invasives,,Europe,tilapia
2017,Intrinsic optimum temperature for the development of decapod crustacean larvae based on a thermodynamic model,temp,,Global,crustaceans
2017,"Potential environmental drivers of a regional blue mussel mass mortality event (winter of 2014, Breton Sound, France)","temp, salinity",France,Europe,mussel
2017,"Temperature dependent growth, feeding, nutritional condition and aerobic metabolism of juvenile spiny lobster, Sagmariasus verreauxi",temp,,,lobster
2017,Distributional changes in a guild of non-indigenous tunicates in the NW Atlantic under high-resolution climate projections,invasives,Canada,North America/Caribbean,
2017,Population-specific genotype x genotype x environment interactions in bacterial disease of early life stages of Pacific oyster larvae,disease,,,oyster
2017,"Combined physical, chemical and biological factors shape Alexandrium ostenfeldii blooms in the Netherlands",HAB,Netherlands,Europe,
2017,Effects of thermal stress on the immune and oxidative stress responses of juvenile sea cucumber Holothuria scabra,temp,,Global,cucmber
2017,"Effects of a bio-invasion of the Pacific oyster, Crassostrea gigas (Thunberg, 1793) in five shallow water habitats in Scandinavia",invasives,Scandinavia,Europe,oyster
2017,The Impact of Aquatic Salinization on Fish Habitats and Poor Communities in a Changing Climate: Evidence from Southwest Coastal Bangladesh,sea level,Bangladesh,Asia,
2017,Lipid-enriched diets reduce the impacts of thermal stress in corals,temp,,,coral
2017,Rapid expansion of the invasive oyster Crassostrea gigas at its northern distribution limit in Europe: Naturally dispersed or introduced?,Invasives,,Europe,oyster
2017,Vulnerability of aquaculture-related livelihoods to changing climate at the global scale,all,,Global,
2017,Thermal tolerance and preferred temperature range of juvenile meagre acclimated to four temperatures,temp,,,meagre
2017,Population biology of infectious diseases shared by wild and farmed fish,disease,,Global,fish
2017,"Farmers' perceptions of climate change, impacts on freshwater aquaculture and adaptation strategies in climatic change hotspots: A case of the Indian Sundarban delta","temp, precipitation, sea level, storms/extremess",India,Asia,
2017,Exposing Northern shrimp (Pandalus borealis) to fish feed containing the antiparasitic drug diflubenzuron caused high mortality during molting,disease,Norway,Europe,shrimp
2017,"Comparative Study on Hatching Rate, Survival Rate, and Feminization of Onychostoma barbatulum (Pellegrin, 1908) at Different Temperatures and Examining Sex Change by Gonad and Karyotype Analyses",temp,,,carp
2017,Impacts of climate change on snakehead fish value chains in the Lower Mekong Basin of Cambodia and Vietnam,all,"Vietnam, Cambodia",Asia,snakehead
2017,Quantification of climate change implications for water-based management: A case study of oyster suitability sites occurrence model along the Kenya coast,temp,Kenya,Africa,oyster
2017,"MASS MORTALITY IN NOAH ARK ARCA NOAE (LINNAEUS, 1758): A CASE STUDY FROM THE STRAIT OF MESSINA (MEDITERRANEAN SEA)",temp,Mediterranean,"Europe, Africa, Middle East",bivalves
2017,Interannual water quality changes at the head of a tropical estuary,"temp, hypoxia, precipitation",Brazil,South America,
2017,"Human activities and coastal erosion on the Kien Giang coast, Vietnam","flood, sea level",Vietnam,Asia,
2017,Occurrence of four species of algae in the marine water of Hong Kong,HAB,Hong Kong,Asia,
2017,"The gill parasite Paramoeba perurans compromises aerobic scope, swimming capacity and ion balance in Atlantic salmon","temp, disease",Norway,Europe,salmon
2017,Large-scale climatic effects on traditional Hawaiian fishpond aquaculture,"temp, hypoxia",USA,North America/Caribbean,
2017,"The growth of finfish in global open-ocean aquaculture under climate change (vol 284, 20170834, 2017)",temp,,Global,
2017,"Estrogen therapy offsets thermal impairment of vitellogenesis, but not zonagenesis, in maiden spawning female Atlantic salmon (Salmo salar)",temp,,,salmon
2017,"Evaluating the contribution of diversified shrimp-rice agroecosystems in Bangladesh and West Bengal, India to social-ecological resilience","flood, sea level",Bangladesh,Asia,shrimp
2017,Non-native marine species in north-west Europe: Developing an approach to assess future spread using regional downscaled climate projections,invasives,,Europe,
2017,"Household social vulnerability to natural hazards in the coastal Tran Van Thoi District, Ca Mau Province, Mekong Delta, Vietnam",stroms,Vietnam,Asia,
2017,"Impact of temperature on sea bass, Dicentrarchus labrax, retina: Fatty acid composition, expression of rhodopsin and enzymes of lipid and melatonin metabolism",temp,,,
2017,Dependency on aquaculture in northern Vietnam,all,Vietnam,Asia,
2017,"Human ecological effects of tropical storms in the coastal area of Ky Anh (Ha Tinh, Vietnam)",stroms,Vietnam,Asia,
2017,Establishing the thermal window for aerobic scope in New Zealand geoduck clams (Panopea zelandica),temp,New Zealand,Oceania,clam
2017,The Use and Abuse of Sea Resources,all,Phillipines,Asia,
2017,Biological invasions in aquatic ecosystems in China,Invasives,China,Asia,
2017,CLIMATIC FORECASTING OF WIND AND WAVES USING FUZZY INFERENCE SYSTEMS,storms/extremess,North Atlantic Ocean,,
2017,"Impact of Oxygen Depletion on Planktonic Community with Emphasis Temperature Dynamics at Aquaculture Scale in Blanakan, West Java","temp, hypoxia","Blanakan, West Java",Asia,
2017,Application of Different Evapotranspiration Models to Calculate Total Agricultural Water Demand in a Tropical Region,parcipitation,Vietnam,Asia,
2017,The role of women in seaweed aquaculture in the Western Indian Ocean and South-East Asia,temp,,Asia,seaweed
2017,"The vulnerability of shrimp farming income to climate change events A case study in Ca Mau, Vietnam",all ,Vietnam,Asia,shrimp
2018,Integrating multiple stressors in aquaculture to build the blue growth in a changing sea,all,,Global,
2018,"Bioaccumulation of metals (Cd, Cu, Ni, Pb and Zn) in suspended cultures of blue mussels exposed to different environmental conditions","temp, pollution",Denmark,Europe,mussel
2018,Shrimp and coastal adaptation: on the politics of climate justice,"flood, sea level",Bangladesh,Asia,shrimp
2018,Decadal Changes in the Edible Supply of Seafood and Methylmercury Exposure in the United States,pollution,USA,North America/Caribbean,
2018,Dietary live yeast and increased water temperature influence the gut microbiota of rainbow trout,temp,,,trout
2018,Predicting shifting sustainability trade-offs in marine finfish aquaculture under climate change,temp,Mediterranean,"Europe, Africa, Middle East",
2018,"The invasive potential of tilapias (Osteichthyes, Cichlidae) in the Americas",Invasives,,"North America/Caribbean, South America",tilapia
2018,Occurrence of mycotoxins in commercial aquafeeds in Asia and Europe: a real risk to aquaculture?,pollution,,"Asia, Europe",
2018,Measuring the effects of temperature rise on Mediterranean shellfish aquaculture,temp,Italy,Europe,shellfish
2018,Interplay between land-use dynamics and changes in hydrological regime in the Vietnamese Mekong Delta,"flood, sea level",Vietnam,Asia,
2018,Economic impacts of marine ecological change: Review and recent contributions of the VECTORS project on European marine waters,"invasives, disease",,Europe,
2018,Considering land-sea interactions and trade-offs for food and biodiversity,all,,Global,
2018,Global estimation of areas with suitable environmental conditions for mariculture species,temp,,Global,
2018,"Emotions, attitudes, and appraisal in the management of climate-related risks by fish farmers in Northern Thailand","floods, drought",Thailand,Asia,
2018,Managing the risks from the water-related impacts of extreme weather and uncertain climate change on inland aquaculture in Northern Thailand,"temp, precipitation, storms/extremes",Thailand,Asia,
2018,Mainstreaming climate change adaptation into inland aquaculture policies in Thailand,"temp, floods, sea level, drought, storms/extremes",Thailand,Asia,
2018,"The mechanics of blue growth: Management of oceanic natural resource use with multiple, interacting sectors","temp, OA",,Global,
2018,Importance of fisheries for food security across three climate change vulnerable deltas,"temp, floods, sea level, drought, precipitation","Bangladesh, Ghana","Asia, Africa",
2018,Impacts and responses to environmental change in coastal livelihoods of south-west Bangladesh,"temp, floods, sea level, stroms/extremes",Bangladesh,,
2018,Ocean futures: Exploring stakeholders' perceptions of adaptive capacity to changing marine environments in Northern Norway,"temp, OA, sea level",Norway,Europe,
2018,"Fish pathogen bacteria: Adhesion, parameters influencing virulence and interaction with host cells",disease,,Global,
2018,A Review of Molecular Responses of Catfish to Bacterial Diseases and Abiotic Stresses,disease,,,catfish
2018,"Phaeoviral Infections Are Present in Macrocystis, Ecklonia and Undaria (Laminariales) and Are Influenced by Wave Exposure in Ectocarpales","disease, storms/extremes",,,seaweed
2018,The economic impacts of ocean acidification on shellfish fisheries and aquaculture in the United Kingdom,OA,United Kingdom,Europe,shellfish
2018,Pathogens of marine bivalves in Maine (USA): A historical perspective,"temp, OA, salninity, disease",USA,North America/Caribbean,bivalves
2018,Impacts of and resilience to climate change at the bottom of the shrimp commodity chain in Bangladesh: A preliminary investigation,"temp, floods, sea level, drought, precipitation",Bangladesh,Asia,shrimp
2018,Assessing the Potential for Small-Scale Aquaculture in Cambodia,flood,Cambodia,Asia,
2018,"Thermal preference, critical thermal limits, oxygen routine consumption and active metabolic scope of Macrobrachium tenellum (Smith, 1871) maintained at different acclimation temperatures","temp, hypoxia",,,shrimp
2018,Sun-basking fish benefit from body temperatures that are higher than ambient water ambient water,temp,,,carp
2018,"Bringing social and cultural considerations into environmental management for vulnerable coastal communities: Responses to environmental change in Xuan Thuy National Park, Nam Dinh Province, Vietnam",all,Vietnam,Asia,
2018,An R package for simulating growth and organic wastage in aquaculture farms in response to environmental conditions and husbandry practices,temp,,,
2018,Desalination of brackish water for agriculture: challenges and future perspectives for seawater intrusion areas in Vietnam,"flood, sea level",Vietnam,Asia,
2018,Thermal tolerance of the invasive red-bellied pacu and the risk of establishment in the United States,"temp, invasives",USA,North America/Caribbean,red-bellied pacu
2018,Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?,"temp, drought, floods, precipitation, storms/extremess",Malawi,Africa,fish
2018,Early life stages of Northern shrimp (Pandalus borealis) are sensitive to fish feed containing the anti-parasitic drug diflubenzuron,all,,,shrimp
2018,Bio-economic evaluation of cropping systems for saline coastal Bangladesh: I. Biophysical simulation in historical and future environments,"flood, sea level",Bangladesh,Asia,
2018,Influence of fish introduction and water level decrease on lakes of the arid Patagonian plateaus with importance for biodiversity conservation,"invasives, drought, precipitation",Patagonian,South America,
2018,Quantifying the Economic Impact of Climate Change and Market Dynamics: The Case of Australia's Sydney Rock Oyster Industry,all,Australia,Oceania,oyster
2018,How do local communities adapt to climate changes along heavily damaged coasts? A Stakeholder Delphi study in Ky Anh (Central Vietnam),"flood, sea level, storms/extremess, precipitation",Vietnam,Asia,
2018,Liver proteome response of pre-harvest Atlantic salmon following exposure to elevated temperature,temp,Australia,Oceania,salmon
2018,Impact of Global Warming on Aquatic Animals,temp,,Global,
2018,"Marine heatwaves off eastern Tasmania: Trends, interannual variability, and predictability",temp,Australia,Oceania,
2018,Differential livelihood adaptation to social-ecological change in coastal Bangladesh,"salinity, sea level, floods",Bangladesh,Asia,
2018,Aquaculture and Water Quality Management in the Philippines,temp,Phillipines,Asia,
2018,"Thermoregulation, thermotolerance and metabolic rate of Macrobrachium tenellum adults",temp,,,shrimp
2018,"Escapes of non-native fish from flooded aquaculture facilities: the case of Paranapanema River, southern Brazil","flood, invasives",Brazil,South America,fish
2018,Blue-Green Water Nexus in Aquaculture for Resilience to Climate Change,"temp, precipitation, drought, flood, sea level",,Global,
2018,Characterization of phytoplankton by pigment analysis and the detection of toxic cyanobacteria in reservoirs with aquaculture production,HAB,Brazil,South America,
2018,Conservation of the Mekong Delta wetlands through hydrological management,all,Vietnam,Asia,
2018,Shoreline change and potential sea level rise impacts in a climate hazardous location in southeast coast of India,sea level,India,Asia,
2018,"
Delimitating inland aqua-ecological zones under different climate conditions in the Mekong Delta region, Vietnam","flood, sea level",Vietnam,Asia,
2018,"
Ocean futures: Exploring stakeholders' perceptions of adaptive capacity to changing marine environments in Northern Norway",temp,Norway,Europe,
2018,"
Bringing social and cultural considerations into environmental management for vulnerable coastal communities: Responses to environmental change in Xuan Thuy National Park, Nam Dinh Province, Vietnam","sea level, storms/extremess",Vietnam,Asia,
2018,"
Differential livelihood adaptation to social-ecological change in coastal Bangladesh","flood, sea level",Bangladesh,Asia,